Tweet,Event,Profile
I've been enjoying my retirement but this is one event I wish I could be a part of - #LaCourse ,Retirement,mmcyclist
My old man enjoying retirement life ?? ?? #GoOnBarrySon ,Retirement,billyboybbm
Officially announcing my retirement from competitive football for the foreseeable future. Its time to begin the next chapter of my life.,Retirement,LiamOCoileain
Retirement=spending time with the love of my life #nothingwithoutyou,Retirement,Le_Bold
My mom is officially retired after 30 years as a RN for the health dept.So many more bible verse texts are about to come thru my phone....,Retirement,VA_MOE
So proud of my mom. Retired after 34 years in  classroom. Role model to so many kids in #citymj The best. ,Retirement,KentMGlobal
If anyway ever needs a negotiator for a car deal you should take my mom with you. She¡¯s a great negotiator. Just bought a new car! :D,Major purchase - new car,EinDayTon
bought a new car today ,Major purchase - new car,RyanAdachi
Made my first big girl purchase yesterday and bought a new car ?? can't wait to pick the new baby up,Major purchase - new car,kaittange
My dad re did his apt my mom bought a new car ?? the divorce is doing them good ??,Divorce,maria_0124
Getting a phone call telling me my new car has arrived has made today so much more bearable!! #superexcited ????,Major purchase - new car,emmastansfield
new car just arrived????,Major purchase - new car,aidasyfiqa
Super stoked that in only one week I'll have my new car and in 4 days my own place?? #happpyyyy,Major purchase - new car,ashhhnicolee14
Here's to my new car! I am beyond blessed! ,Major purchase - new car,SarahMiner14
Beyond Blessed! My new car ???,Major purchase - new car,DeannaMosqueda
I got my new car today #thanksparents #blessed ??????,Major purchase - new car,Maddie_Mae1
Blessed to call this my new car,Major purchase - new car,DJKevTheGoon
RIP Grandpa. You will be missed ??????,Death of family member,JenAsh18
Looking good for you today grandpa you will be missed????,Death of family member,AllisonMarie_2
You were such a remarkable man Grandpa. You left an impression on everyone you met. You will be missed¡­ ,Death of family member,Kaylie__Davis
"Rest in peace grandpa, you fought hard. You will be missed greatly.",Death of family member,tylergagne97
"R. I. P. Grandpa, lil Omo & KayeK Odette you all will be greatly missed. I'm just devastated. God give us strength????",Death of family member,MzCamilleSimone
"What a long night, mom flew to Mexico to say goodbye to her dad r.i.p grandpa Gonzalo avalos you will be missed??",Death of family member,mariapintor90
So today I book my wedding at the @Slieverussell and I am so happy I am get married to my bestfriend I love u 2 bit @RachealMooney xxxxx,Marriage,Hanneyer24
Blessed to be married to my best friend and love of my life ????,Marriage,macenyj15
Everyday I realize just how lucky I am to have married my absolute bestfriend??,Marriage,SweetMrsJ
I can't wait to be married so I can climb into bed and be cuddled by my best friend every night ??????,Marriage,Meganhivelyy
I can't wait to get married and have a sleepover with my best friend every night ??,Marriage,sphoback16
rest in peace grandpa. you're with grandma again. ??,Death of family member,london_bridgetx
"The woman I've trusted my whole life has gone to a better place today. Rest in peace grandma, you will be missed",Death of family member,marcohawa12
so.. my step-grandma passed away earlier today and I just heard the new.. ill miss you. rest in peace. ??,Death of family member,aaronhaight22
Funeral couldn't have been done better. Rest in peace Grandma. You're partying in heaven with God now. Gonna miss you.,Death of family member,AlexTheShin
rest in peace Grandma Betty an ig inspiration with her cancer battle. You will be missed pic.twitter.com/Vdy347eHJ3,Death of family member,abbierus
rest in peace grandma i love you so much?? I'm glad i got to share this day with you??,Death of family member,EllsworthNicole
"Heaven gained a very special angel last night?? Rest in peace Grandma, I love you?? ",Death of family member,youwantMoore5
This is the worst day of my life. Rest in peace grandma. I love you so much. You will forever be in my heart..,Death of family member,Megan_Berginski
"Great grandma, you were one of a kind. But now you're with great grandpa up in heaven. rest in peace???????? I love you ",Death of family member,SydneySchreier
Rest in peace Grandma Rosemary. ?? 92 amazing years. Thank You for everything  ??,Death of family member,theGUiAJ
Moving back to Cordova in a month my new house big with a pool ???? Turnt ??,New home purchase,PASSION_Harmony
just bought a new house ,New home purchase,TWERK4MENIALL
"I have the best life john and I bought our lot for our new house last Tuesday, how things change in just a year. <3 ",New home purchase,laurajayne0328
TONIGHT WAS PERFECT. MY SISTER IS ENGAGED. I'M SO HAPPY! p.s - photography is now on my list of potential majors ?????? ,Engagement,lilwil7
OMG! I'm getting married TOMORROW! ??,Marriage,SuhhPlayaa
Still can't believe I'm finally getting married!,Marriage,madirose_07
My soon to be initials!!! I love my new shirt from @lindseyphillips12 Can't believe I'm getting married in 7 months??,Marriage,hannahdnelson
I can't believe I'm getting married in a little over a month! ?????????? #jamesonatlast #92714,Marriage,AnnieBuddenbohn
"It's true; I'm in love, married, and now officially Randi Chase Romanchuk ??????",Marriage,RandiThibert
I'm officially engaged to my best friend! @KW0ww13,Engagement,TheOnlyRealNoah
"I guess I can let the cat outta the bag now, I am officially engaged!! ",Engagement,Pebbles_AMB93
Officially engaged to the woman of my dreams! Cannot be more excited for our life together! :D :D God is sooo great! :),Engagement,cjackmurray
Finally said yes. Soon to be official mrs.Bull! ,Engagement,Bullsauce816
Soon to be Mrs.Jackson. I get to marry my best friend and I couldn't be happier! #sothankful #helovesme,Marriage/Engagement,DammitDevlyn
One year ago today I got engaged to the most amazing man @mklueh! I cannot wait to be Mrs. Klueh soon! ,Marriage,EmilyBrunemann
Officially engaged!! I am soon to be Mrs. Claudia Pettengill ??????,Engagement,castaneda_clads
"What a crazy, but beauty day! Thanks for all kind greetings! I'll pushing hard in future! #NeverGiveUp #GraduationDay",Completion of education,Checofan
#GraduationDay ?????,Completion of education,TeamKennard88
Consider it done! Celebrating with the three most important people in my life. #graduationday #whatistheory,Completion of education,bgilbert17
"I'm coming home, I'm coming home. Tell the world I'm coming home. #graduationday #gameday",Completion of education,jyoung_09
Still can't believe after being at my job for only 2 weeks I have already been promoted! Feeling so blessed ??????,Promotion,_Bethanaaayyy
Promoted to manager :) #blessed,Promotion,klechugita
Just found out I will be promoted to Tech Sergeant! God does answer prayers! #militarylife #USAF #blessed #Military ,Promotion,haygoodshouse
Guess who got promoted. This guy. ?? #blessed #onmyway #manager,Promotion,breezywarren
My amazing mother just got promoted to manager in the heart center department. I am blessed so blessed. ?? #GodIsGood ,Promotion,JulieeOrtegaa
Finally got my name tag with my promoted job title on it!,Promotion,UTalkItILivedIt
"and after four months of training, today is the dayyy. finally promoted!! so happy i have no words ???? thank you krus for all the help and guidance ??",Promotion,GODCEELLA
"Last shift at Rubios, can't wait to come back over Christmas in my new position ?? #promoted ??",Promotion,jamiielynn62
"so, 1 week tomorrow i leave the co-op after nearly 2 years, then 2 weeks tomorrow i start my new job at Land Rover! #excited #awesome",New job,ebbb_
I start a new job tomorrow! Nervous but excited! Didn't feel real until I just confirmed what time I should arrive so now u know internet,New job,bikecyclegirl
First day at the new job and I am so excited ?,New job,bshawtyyy
So excited for my new job today!! ??????,New job,_BeckyJones_
I have a new job. Very excited to be a reporter at National Review!,New job,kctimpf
"1st day at my new office. New life, new job, and new year. My head is about to explode.",New job,uriellcoleria
My 1st day at my new job -_- ugh I'm so tired like frfr !,New job,bernaah_23
1st day on the new job ??????,New job,JayBarrowclough
Today was my first day @zsllondonzoo as the new Arts & Culture Coordinator. What a great job! I'm stoked! #rad,New job,Talitatwoshoes
First official day with my new job! #stoked,New job,sir_manning21
My new job requires me to travel. So today  I got approved for my visa. N¨®s para o Brasil!,New job,djkakester
It's official.. we are finally all moved into the new house & blessed to have pool view! ?? #theRetreatUCF #TooExcited ,New home purchase,j_babyy_18
We had our first home cooked family dinner at the new house today.. We are undeservedly blessed. God is good??,New home purchase,julieesouzaa
The world lost a wonderful man this morning. RIP Grandpa. You will be missed.,Death of family member,pghsteelersgrl
Heaven has gained the biggest Chicago Bears fan tonight. R.I.P Grandpa you were an inspiration and you will be missed #gobears,Death of family member,sdavidson47
Heaven gained another beautiful angel last night. ?? rip grandma love you all the time ??????,Death of family member,herbst_h
"RIP uncle Jim, promise me to take good care of grandma up there. Love you forever.",Death of family member,Schmityy19
"RIP Grandma Angie?? Truly a beautiful woman inside &out, Love & prayers to the strongest &most caring family I know??",Death of family member,vanessahudacko
"rip to my ""twin"" love you forever grandma ??",Death of family member,morgan_hove
"RIP Grandma, heaven just got another angel I know you'll always look after me, I'll make you proud. T¨¢ gr¨¢ agam duit ",Death of family member,JohnnyMcGrath8
It's going to be a good day guys!! My third trimester is here!! Let the countdown begin till we get to meet our bundle of joy!!,New child,kaylarjohnson5
I get my new car tomorrow I am pretty stoked. Woohooooo #workedhardforit,Major purchase - new car,RizwanKhan210
 @carlfox79 Having the best time in London seeing the sights and drinking champagne with my new FIANC?! #engaged,Engagement,parnaby43
I still can't believe I'm ENGAGED to such an amazing man! Thanks to everyone who has encouraged and prayed for John and I over the past few months. I can't wait to see where God leads us!??,Engagement,MeganFuller_
So this happened tonight.! Can't believe I'm engaged to the most amazing man in the world! ??????,Engagement,Savagegirl1994
A year ago today I got engaged and in exactly two months I'm getting married ?? #itsthehallwedding,Marriage,MontMcCain
I'm getting married today! That's probably tweetworthy. #HappilyEverJackson,Marriage,cjack_11
Ummmm just a small thing - I'M GETTING MARRIED TODAY yiipppppppeeeeeee!,Marriage,georgielc
"Wow. In two days I'm getting married to an amazing, beautiful woman. It still hasn't sunk in but I am the luckiest guy on the planet.",Marriage,Sir_Gill
Getting married today to an AMAZING woman! #GodIsGood,Marriage,Praise4TheLord
Officially hitched ???????????? #married,Marriage,Jay_isntRuDe
Officially married!! ,Marriage,abbygramling
My beautiful wife just gave birth to my lovely daughter Kaylie.,New child,whelangary
Some sleepless night ahead but not because of stargazing instead my wife just gave birth to a beautiful girl!! ,New child,Space___Geek
Just bought a new car!:)) cassandwich11 @ Team Nissan Vineland,Major purchase - new car,7Nole7
So my 86 year old grandpa just bought a new car,Major purchase - new car,aileencahill1
About to get my new car Friday ?? you have no idea how excited I am,Major purchase - new car,gvbbyM
"The Lord is awesome! I love my new car! From Land Rover to BMW, the ultimate driving machine! #Excited",Major purchase - new car,SanctifiedDivas
Welcome home ?????? #newcar,Major purchase - new car,danleymichael
Everyone say hello to Kiera the Ka!! #newcar ,Major purchase - new car,sharpe_anne
Great way to start off the school year ???? #newcar #altima,Major purchase - new car,laneyjust
Bae was looking good today???? #NewCar ,Major purchase - new car,RiGuy222
Registering to walk for graduation!!! I've finally made it to this final point!!! Can't wait to get my cap and gown!!! ?????????????? #WeMadeIt,Completion of education,BreannaNicoleM
At my last USF graduation! Finally!!! @ItsReallyNtHard hurry up and walk across this stage. It's time to eat ??,Completion of education,_KillaKay
It's finally graduation day! I'm about to be a proud 2x UND alum! @UND_Alumni  #masters,Completion of education,MrsDelz
"I FINALLY Graduated from School!!! Massage Therapy, Here I Go!!!",Completion of education,Love94Samantha
I graduated from undergrad almost 2 years ago and today I can finally say I moved everything out from school.. It's bittersweet¡­,Completion of education,BIG_DADDY_SAICH
"Well I guess it's official, I'm a graduate! Not what I'd hoped but still proud of what I've achieved! ?????? ",Completion of education,KayleighMurphy
mom and i opening the door to our new house ????,New home purchase,emmaaschwartz
One month until we get the keys to our new house in Bellingham! Could not be more excited ,New home purchase,Courtney_Okeefe
"I absolutely love our new house, car, & our million dollar community & I can finally call San Jose my new home. ",New home purchase,dcamberos11
"I've been working here for less than 3 months and just got promoted to supervisor. Work Hard, Play Harder.",Promotion,KidYoung_UC
"no sleep last night, an afternoon heavily laced with persistent nausea, but hey. it's okay. because i got promoted today :)",Promotion,Lzechariah
Boyfriend popped the quesion tonight! After 5 and a half years we're finally engaged! ,Engagement,SamanthasBooks
WE'RE ENGAGED!!!!!! SO excited to marry this amazing man!!! I'm going to be Mrs. William Hunt!!!¡­,Engagement,LoLoLaney
"Can't believe I'm engaged! Happy, love my fianc¨¦ ????????",Engagement,OliviaDevine7
She said YES! I would like you to meet my fianc¨¦ @renaehallinan! ????,Engagement,Joeingles7
My Fianc¨¦ & I??. Really Can't Wait To Meet Our Lil' Boy??! ,New child,Vanillaa_Star
"We're engaged!!! ?????? My heart is so happy, and I cannot wait to marry the man of my dreams. He did an amazing job, and it could not have been more perfect Thank you to everyone that celebrated with us. I'm so happy that all of our family and friends were able to be apart of the special day. Also, thank you to everyone who helped get it all together. I love you, Tim!! ??",Engagement,braideehamm
"Not sure if I'm ready for the world to know, but Twitter is Im engaged ! ???? to the man of my dreams",Engagement,CelesteLissett
I'm so lucky to be able to spend eternity with the man of my dreams ????? #ENGAGED ,Engagement,megzpopp
Engaged to the man of my dreams! God is so good!!! ,Engagement,mlbrewster
it's official with my parents divorce??,Divorce,xoJaslynxo
My parents divorce is final today. Weird feeling,Divorce,TabiKelley
"It's official, my parents are divorced. I don't even know how to feel right now.??",Divorce,kateevanss93
Bought a new house and hubby's finishing the laundry room. ,New home purchase,luannschindler
I'm engaged! Yeahhhhhhh! @MrJCabral #engaged #gettingmarried #reallife #dreamring ,Engagement,emsots
8 months till I marry this man! ?? #wedding #gettingmarried #bridetobe #cantwait #love #countdown,Marriage,StephanieTotino
Well my wedding speech is nearly completed and the final suit fitting went well today. One week from tomorrow until the big day.,Marriage,GeckoEdwards
?? Finally!!! ?? #wedding #weddingday #myweddingday,Marriage,Maktakyz
3 Weeks today it will be the morning of my wedding day OMG!!! ??,Marriage,CarlaxLouise
Ready to meet our new bundle of joy..11 more days until we find out if it's Journee Lazaria or Jordan Lanard,New child,bossazzbrie
Seriously cannot wait to have my baby girl. I feel like I've been pregnant forever. 31 weeks today though! 8 months on Monday.?? #soclose,New child,nicholelasher
"Engaged to my best friend, Mrs. Williams to be ??",Engagement,destinyp_x3
I'm officially engaged to my best friend! @KW0ww13,Engagement,TheOnlyRealNoah
Words can't explain how happy I am right now!!! He liked it so he put a ring on it ???? #engaged,Engagement,lorietoofettch
My beautiful sister is getting married tomorrow... Holy shit it's finally hitting me,Marriage,dr0han
 @MatthieuLa Do you know in 1 week's time today we will be married???  HUH??? #loveyou #gettingmarried #wedding,Marriage,maybelline79
Today is the day of my graduation. Happy day!,Completion of education,Checofan
Today is graduation day for my little brother @DtreOliver12 and I am SOOOOOO proud ?????????? he's also #NCCU18 ????????,Completion of education,TarisUnscripted
"Today is graduation and also my last day in Rochester. I will miss this place, but even more the people that made my exchange year special",Completion of education,RobertUnger7
It's my graduation day today! 5 years at @ItaliaContiuk I missed you all more than ever today. Sorry I couldn't be there. IVE GRADUATED!! ??,Completion of education,LaytonWilliams
